# MNE-Annotations
# orig_time : 2013-04-18 00:04:04.688210   
# onset, duration, description
0.0,0.005,New Segment/
42.88,0.005,Comment/Augen links rechts
53.14,0.005,Comment/Augen hoch runter
60.34,0.005,Comment/Zähne knirschen
80.26,0.005,Comment/Licht aus
2105.915,0.005,Stimulus/S  1
2108.815,0.005,Stimulus/S  3
2108.82,0.005,Stimulus/S  2
2117.525,0.005,Stimulus/S  1
2120.41,0.005,Stimulus/S  3
2120.415,0.005,Stimulus/S  2
2129.115,0.005,Stimulus/S  1
2132.005,0.005,Stimulus/S  3
2132.01,0.005,Stimulus/S  2
2140.71,0.005,Stimulus/S  1
2143.585,0.005,Stimulus/S  3
2143.59,0.005,Stimulus/S  2
2152.29,0.005,Stimulus/S  1
2155.165,0.005,Stimulus/S  2
2163.87,0.005,Stimulus/S  1
2166.74,0.005,Stimulus/S  3
2166.745,0.005,Stimulus/S  2
2175.445,0.005,Stimulus/S  1
2178.32,0.005,Stimulus/S  3
2178.325,0.005,Stimulus/S  2
2187.025,0.005,Stimulus/S  1
2189.915,0.005,Stimulus/S  3
2189.92,0.005,Stimulus/S  2
2198.62,0.005,Stimulus/S  1
2201.505,0.005,Stimulus/S  3
2201.51,0.005,Stimulus/S  2
2210.215,0.005,Stimulus/S  1
2213.085,0.005,Stimulus/S  3
2213.09,0.005,Stimulus/S  2
2221.79,0.005,Stimulus/S  1
2224.665,0.005,Stimulus/S  3
2224.67,0.005,Stimulus/S  2
2233.37,0.005,Stimulus/S  1
2236.24,0.005,Stimulus/S  3
2236.245,0.005,Stimulus/S  2
2244.95,0.005,Stimulus/S  1
2247.835,0.005,Stimulus/S  3
2247.84,0.005,Stimulus/S  2
2256.54,0.005,Stimulus/S  1
2259.415,0.005,Stimulus/S  3
2259.42,0.005,Stimulus/S  2
2268.12,0.005,Stimulus/S  1
2271.01,0.005,Stimulus/S  3
2271.015,0.005,Stimulus/S  2
2279.715,0.005,Stimulus/S  1
2282.585,0.005,Stimulus/S  3
2282.59,0.005,Stimulus/S  2
2291.295,0.005,Stimulus/S  1
2294.165,0.005,Stimulus/S  3
2294.17,0.005,Stimulus/S  2
2302.87,0.005,Stimulus/S  1
2305.76,0.005,Stimulus/S  3
2305.765,0.005,Stimulus/S  2
2314.465,0.005,Stimulus/S  1
2317.355,0.005,Stimulus/S  3
2317.36,0.005,Stimulus/S  2
2326.06,0.005,Stimulus/S  1
2328.915,0.005,Stimulus/S  3
2328.92,0.005,Stimulus/S  2
2343.945,0.005,Stimulus/S  1
2346.815,0.005,Stimulus/S  3
2346.82,0.005,Stimulus/S  2
2355.525,0.005,Stimulus/S  1
2358.41,0.005,Stimulus/S  3
2358.415,0.005,Stimulus/S  2
2367.115,0.005,Stimulus/S  1
2369.99,0.005,Stimulus/S  3
2369.995,0.005,Stimulus/S  2
2378.695,0.005,Stimulus/S  1
2381.565,0.005,Stimulus/S  3
2381.57,0.005,Stimulus/S  2
2394.63,0.005,Stimulus/S  1
2397.515,0.005,Stimulus/S  3
2397.52,0.005,Stimulus/S  2
2406.22,0.005,Stimulus/S  1
2409.095,0.005,Stimulus/S  3
2409.1,0.005,Stimulus/S  2
2417.8,0.005,Stimulus/S  1
2420.72,0.005,Stimulus/S  3
2420.725,0.005,Stimulus/S  2
2429.43,0.005,Stimulus/S  1
2432.3,0.005,Stimulus/S  3
2432.305,0.005,Stimulus/S  2
2441.005,0.005,Stimulus/S  1
2443.88,0.005,Stimulus/S  3
2443.885,0.005,Stimulus/S  2
2452.585,0.005,Stimulus/S  1
2455.455,0.005,Stimulus/S  3
2455.46,0.005,Stimulus/S  2
3316.18,0.005,Comment/Licht an
